#{"t_start": 1773857191.5022678, "env_id": "None"}
r,l,t
345.02,534,787.983186
383.99,641,788.540096
355.24,513,790.297599
354.73,564,790.743728
385.76,464,791.124796
326.5,384,791.456813
395.07,534,793.310714
257.05,322,793.58164
325.84,450,793.971165
344.87,549,794.407704
275.87,442,796.191334
345.08,528,796.653606
276.37,392,796.992242
354.7,567,797.497492
346.45,391,797.832044
187.61,259,799.505698
147.98,218,799.680688
404.62,580,800.138592
276.53,376,800.473399
187.8,240,800.692428
405.64,478,802.440525
366.06,432,802.84061
296.61,370,803.125082
374.98,541,803.570032
98.96,115,803.664661
305.46,486,804.062522
29.57,47,804.111384
187.73,247,805.779274
247.17,309,806.03408
276.61,368,806.362285
305.85,447,806.701759
364.69,569,807.180161
345.67,469,808.888093
356.12,425,809.265559
374.63,576,809.730186
385.84,456,810.144834
79.29,80,810.224324
49.4,66,810.272075
365.87,451,811.968102
158.19,198,812.12435
275.25,504,812.617738
59.48,59,812.713728
355.51,486,813.496487
226.97,327,813.973183
9.97,5,813.989007
424.52,592,817.692863
384.99,541,818.506393
315.79,454,819.236842
374.84,555,820.112075
285.6,470,823.454875
364.93,545,824.300572
325.79,455,824.986507
266.96,332,825.465394
257.39,288,828.710349
276.97,332,829.282352
355.34,503,830.029193
355.69,468,830.732111
414.68,575,831.562097
294.03,628,835.981192
423.61,683,837.002879
306.67,365,837.545237
227.4,284,837.975153
384.65,575,841.96267
365.32,506,842.719466
385.48,492,843.463851
266.14,414,844.086115
335.05,530,847.477796
277.89,240,847.860186
217.27,296,848.306132
414.88,555,849.133389
216.44,379,849.692213
315.48,485,853.365905
373.1,729,854.513708
383.42,698,855.648113
365.42,496,856.585793
274.83,546,860.084849
306.48,384,860.688686
276.34,395,861.279027
9.84,18,861.294849
301.82,850,865.211938
345.86,450,865.949568
365.12,526,866.791466
295.55,476,867.543633
346.18,418,868.198411
384.73,567,871.82972
326.32,402,872.471635
375.35,504,873.294902
157.53,264,873.710599
365.1,528,877.31142
434.3,615,878.268246
277.25,304,878.746478
246.45,381,879.334636
354.69,568,880.196876
9.98,4,882.809004
454.44,603,883.809479
345.72,464,884.495987
176.72,347,885.022169
424.17,627,885.94812
344.57,579,889.872702
375.83,456,890.574482
296.79,352,891.132437
335.66,469,891.85134
405.14,528,895.748041
394.56,585,896.652314
365.73,465,897.38461
276.17,412,897.986646
345.81,455,901.482556
414.83,560,902.355035
335.75,460,903.085163
167.66,252,903.480989
326.1,424,904.150513
276.47,382,907.461089
227.54,270,907.900075
365.62,476,908.622078
344.87,549,909.461269
345.92,444,910.176022
285.94,436,913.815818
246.84,342,914.326132
226.03,421,914.993191
276.47,382,915.580912
325.76,458,916.246522
395.86,455,919.356185
276.3,399,919.946776
49.5,56,920.036406
454.99,548,920.8613
167.91,227,921.196527
217.62,261,921.605812
207.45,277,924.470601
414.19,624,925.437116
316.12,421,926.124972
394.0,641,927.121167
344.33,603,930.868553
148.45,171,931.123406
325.81,453,931.82391
266.32,396,932.408943
286.07,423,933.097312
374.78,561,936.722275
69.23,85,936.867925
325.56,478,937.616896
424.11,633,938.678128
366.77,361,939.265947
325.46,488,942.529361
484.18,632,943.499399
305.97,435,944.134316
158.14,203,944.435179
326.86,348,944.943817
354.96,541,948.490442
336.25,410,949.143961
385.4,500,949.969984
